image,Prediction
/content/uploads/1.jpg,"['MH12','FK', '1463']"
/content/uploads/7.jpg,"['HR29', 'AA', '3004)']"
/content/uploads/46.jpg,"['DL', 'sc', 'AA', '2242', 'NU Atta']"
/content/uploads/42.jpg,['MHI2HL9424)']
/content/uploads/15.jpg,"['UP','37.', '£4421']"
/content/uploads/35.jpg,['DL7CN4791']
/content/uploads/52.jpg,"['439148', 'MH', '_']"
/content/uploads/40.jpg,['ANOLE']
/content/uploads/50.jpg,"['TNIOAF 1638', '==']"
/content/uploads/43.jpg,['MH CBRO3E5)']
/content/uploads/20.jpg,"['DL','5S','AA', '2142']"
/content/uploads/3.jpg,"['DU.', '13<éSe']"
/content/uploads/16.jpg,"[ 'cH','o4', '1784']"
/content/uploads/54.jpg,"['WB', '20H', '5315']"
/content/uploads/60.jpg,"['WH12,08.8171']"
/content/uploads/19.jpg,"['UP', 'i”', '5596']"
/content/uploads/8.jpg,"['MHO2B', 'D 5678']"
/content/uploads/10.jpg,"['MH', 'OS', 'BE', '7084', 'tee', 'auto', 'India']"
/content/uploads/63.jpg,"['DL8Ct', '_', '7939']"
/content/uploads/29.jpg,"['UP', '4', 'BASSE4']"
/content/uploads/38.jpg,"[ 'WB-06C','1173S']"
/content/uploads/5.jpg,"['KLO1A', 'B 1234']"
/content/uploads/57.jpg,"['DL', '01A', 'ca', '0123.', '=']"
/content/uploads/69.jpg,"[ 'WB-06C','1198383']"
/content/uploads/24.jpg," 'DL', 'BUGIZE',['a>',]"
/content/uploads/45.jpg,['HR26AK 9672']
/content/uploads/55.jpg,['TNO2AD0812)']
/content/uploads/65.jpg,['WHI2HL9424)']
/content/uploads/49.jpg,"['WH, 04,EX,5888']"
/content/uploads/26.jpg,"['UP? TS', 'BLBl32.']"
/content/uploads/30.jpg,"[ 'UP','DF', '1.', '2186']"
/content/uploads/25.jpg,"['DL', 'Ns', '~', '1937']"
/content/uploads/66.jpg,"['WAYS,', '—', 'WA']"
/content/uploads/67.jpg,"['T2100', 'MATA', 'Cor bow']"
/content/uploads/68.jpg,['KAO3MN5959']
/content/uploads/6.jpg,"[""up 'sdoK"", '3337']"
/content/uploads/56.jpg,"['APQS', 'BH', '8702']"
/content/uploads/44.jpg,"['20H', '9705', 'WB']"
/content/uploads/41.jpg,['ANNE']
/content/uploads/64.jpg,['2FHEO077']
/content/uploads/47.jpg,"['-', 'AKAAI36']"
/content/uploads/2.jpg,"['OLZSE:', 'KBizZ8i']"
/content/uploads/14.jpg,"['ZEO0Z,', 'WPI']"
/content/uploads/21.jpg,"['S Pf & Fn', 'ASEZII2']"
/content/uploads/34.jpg,"['KM', 'GULRA.8132']"
/content/uploads/18.jpg,"['uP-14a', 'AE-OR 92']"
/content/uploads/37.jpg,"['Men', '6s', 'eo', 'ur']"
/content/uploads/28.jpg,"['ue foK', '3337']"
/content/uploads/22.jpg,"['DSS', 'AS22732']"
/content/uploads/36.jpg,"['T2100', 'MATA', 'Cor bow']"
/content/uploads/48.jpg,"['9755', 'AA', '6S', 'UP']"
/content/uploads/32.jpg,['\\MAIABC.E 14']
/content/uploads/58.jpg,['WAALDS.ATA']
/content/uploads/17.jpg,"['WHOSE', 'AN 3SS7']"
/content/uploads/31.jpg,"['LAE 4', '= -']"
/content/uploads/27.jpg,"['UP', ''EA', '""4305']"
/content/uploads/39.jpg,"['oo', 'Noe', 'a7', 'e.']"
/content/uploads/11.jpg,"['UPS7d', '5654']"
/content/uploads/33.jpg,['OUILAKESS¥']
/content/uploads/70.jpg,"['1TTI3S9', 'WB-06C']"
/content/uploads/61.jpg,"['G.1.KP', '50S6']"
/content/uploads/4.jpg,"['II WANE', 'Zin', 'ww']"
/content/uploads/12.jpg,"['ea', 'LLA&S']"
/content/uploads/23.jpg,"['BA2023','OoOLSsSS°']"
/content/uploads/62.jpg,"['DL','no', 'CA', '1436']"
/content/uploads/53.jpg,"['EM.6015', 'Me.12,', 'were', 'a']"
/content/uploads/51.jpg,"['ASIF 4', 'LS £2.']"
/content/uploads/59.jpg,['WANDS. AAT']
